383	1463	697
384	1470	689
385	1478	1137
386	1486	999
387	1493	800
388	1501	741
389	1509	1367
390	1517	1170
391	1524	760
392	1532	945
393	1540	616
394	1548	819
395	1556	810
396	1564	1131
397	1572	752
398	1580	942
399	1588	832
400	1596	884
401	1604	794
402	1612	763
403	1620	796
404	1628	854
405	1636	1504
406	1644	1042
407	1652	731
408	1660	762
409	1668	846
410	1676	925
411	1685	993
412	1693	865
413	1701	941
414	1709	741
415	1718	885
416	1726	696
417	1734	903
418	1743	742
419	1751	810
420	1759	1222
421	1768	853
422	1776	732
423	1785	822
424	1793	902
425	1802	1022
426	1810	837
427	1819	1506
428	1827	1247
429	1836	1435
430	1844	549
431	1853	1249
432	1861	1386
433	1870	820
434	1879	1016
435	1887	819
436	1896	1052
437	1905	1127
438	1914	1235
439	1922	1682
440	1931	1065
441	1940	960
442	1949	906
443	1958	1014
444	1966	1717
445	1975	1092
446	1984	762
447	1993	986
448	2002	1136
449	2011	1834
450	2020	1246
451	2029	1154
452	2038	1880
453	2047	1037
454	2056	986
455	2065	1255
456	2074	1853
457	2083	1774
458	2093	1376
459	2102	1178
460	2111	1274
461	2120	1099
462	2129	1237
463	2139	1668
464	2148	1182
465	2157	1751
466	2166	1065
467	2176	1215
468	2185	1283
469	2194	1880
470	2204	1273
471	2213	948
472	2223	1429
473	2232	1929
474	2242	1433
475	2251	1029
476	2261	1027
477	2270	1216
478	2280	1584
479	2289	992
480	2299	1174
481	2308	1084
482	2318	953
483	2328	1646
484	2337	1189
485	2347	863
486	2357	1717
487	2366	1520
488	2376	1175
489	2386	1086
490	2396	1066
491	2405	1160
492	2415	1293
493	2425	1042
494	2435	1274
495	2445	1095
496	2455	1281
497	2465	1187
498	2475	1206
499	2485	2406
500	2495	2058
501	2505	2448
502	2515	1220
503	2525	1917
504	2535	1808
505	2545	1973
506	2555	2006
507	2565	1940
508	2575	1245
509	2585	1258
510	2595	2021
511	2606	2067
512	2616	1145
513	2626	1306
514	2636	1507
515	2647	1276
516	2657	1931
517	2667	1081
518	2678	1496
519	2688	1210
520	2698	1586
521	2709	1331
522	2719	976
523	2730	1247
524	2740	1810
525	2751	1513
526	2761	1380
527	2772	1416
528	2782	1634
529	2793	1062
530	2803	1317
531	2814	1871
532	2824	1291
533	2835	871
534	2846	1937
535	2856	1343
536	2867	2826
537	2878	1232
538	2889	1461
539	2899	1174
540	2910	1478
541	2921	2611
542	2932	1900
543	2943	1352
544	2953	1439
545	2964	1313
546	2975	1374
547	2986	1287
548	2997	1966
549	3008	1196
550	3019	1225
551	3030	1541
552	3041	1679
553	3052	1359
554	3063	1470
555	3074	1530
556	3085	2209
557	3096	1157
558	3108	1416
559	3119	1377
560	3130	1837
561	3141	1659
562	3152	1322
563	3164	2165
564	3175	1439
565	3186	1429
566	3197	1343
567	3209	1441
568	3220	1510
569	3231	2118
570	3243	1339
571	3254	1403
572	3266	1426
573	3277	1303
574	3289	1431
575	3300	2324
576	3312	1052
577	3323	2529
578	3335	1456
