383	2926	2026
384	2941	1942
385	2956	2001
386	2972	2146
387	2987	2074
388	3003	2016
389	3018	2041
390	3034	2204
391	3049	2292
392	3065	1657
393	3081	2176
394	3096	2223
395	3112	2172
396	3128	2271
397	3144	2015
398	3160	1997
399	3176	2295
400	3192	1757
401	3208	1560
402	3224	2285
403	3240	1860
404	3256	2039
405	3272	2159
406	3288	2377
407	3304	1968
408	3321	1484
409	3337	2929
410	3353	2229
411	3370	2658
412	3386	2149
413	3403	2202
414	3419	2117
415	3436	2367
416	3452	2079
417	3469	1748
418	3486	2485
419	3502	2405
420	3519	2000
421	3536	2439
422	3553	2212
423	3570	2399
424	3587	2363
425	3604	2592
426	3621	2512
427	3638	2486
428	3655	2985
429	3672	2971
430	3689	2371
431	3706	2725
432	3723	2620
433	3741	2682
434	3758	2813
435	3775	2348
436	3793	2569
437	3810	2758
438	3828	2948
439	3845	2806
440	3863	2876
441	3880	2400
442	3898	3069
443	3916	2781
444	3933	2709
445	3951	2711
446	3969	2712
447	3987	2706
448	4005	2665
449	4023	2733
450	4041	2536
451	4059	2865
452	4077	2781
453	4095	2956
454	4113	3182
455	4131	2779
456	4149	2827
457	4167	2863
458	4186	2533
459	4204	2461
460	4222	2307
461	4241	2437
462	4259	2581
463	4278	3204
464	4296	2705
465	4315	2936
466	4333	3005
467	4352	3062
468	4371	2586
469	4389	2818
470	4408	2958
471	4427	2777
472	4446	3353
473	4465	3169
474	4484	1745
475	4503	3174
476	4522	3028
477	4541	3320
478	4560	3044
479	4579	3261
480	4598	3411
481	4617	2473
482	4636	3036
483	4656	3245
484	4675	3310
485	4694	2992
486	4714	2938
487	4733	2995
488	4753	2588
489	4772	2900
490	4792	3084
491	4811	3176
492	4831	3191
493	4851	3004
494	4870	2794
495	4890	5564
496	4910	2821
497	4930	3108
498	4950	3698
499	4970	2786
500	4990	3179
501	5010	2966
502	5030	3121
503	5050	2538
504	5070	2855
505	5090	3259
506	5110	3326
507	5130	3298
508	5151	3322
509	5171	3718
510	5191	3772
511	5212	3267
512	5232	3613
513	5253	3578
514	5273	3604
515	5294	3519
516	5314	3620
517	5335	3298
518	5356	3402
519	5376	3131
520	5397	3363
521	5418	3534
522	5439	3544
523	5460	3124
524	5481	3230
525	5502	3570
526	5523	3776
527	5544	4092
528	5565	3664
529	5586	1465
530	5607	3208
531	5628	3631
532	5649	3510
533	5671	3597
534	5692	3058
535	5713	3206
536	5735	3779
537	5756	2839
538	5778	3975
539	5799	3415
540	5821	3628
541	5842	3306
542	5864	3296
543	5886	3492
544	5907	3060
545	5929	3690
546	5951	3331
547	5973	3633
548	5995	3353
549	6017	3580
550	6039	3746
551	6061	3339
552	6083	3445
553	6105	3446
554	6127	3708
555	6149	3322
556	6171	4106
557	6193	3835
558	6216	3916
559	6238	3809
560	6260	3247
561	6283	4028
562	6305	3337
563	6328	3900
564	6350	2888
565	6373	3714
566	6395	3665
567	6418	3274
568	6441	4118
569	6463	3948
570	6486	4044
571	6509	4033
572	6532	4147
573	6555	3973
574	6578	3923
575	6601	3723
576	6624	3647
577	6647	3925
578	6670	3838
579	6693	3403
580	6716	3732
